order_id,order_date,category,region,channel,unit_price,quantity,discount_pct,revenue,cost,profit
2364,2024-07-04,Furniture,North,In-Store,231.66,6,0,1389.96,777.14,612.82
131,2024-07-04,Furniture,West,In-Store,446.57,2,0,893.14,570.86,322.28
646,2024-07-04,Books,South,In-Store,6.49,2,0,12.98,6.51,6.47
3015,2024-07-04,Sports,West,In-Store,79.85,2,5,151.71,97.27,54.44
423,2024-07-04,Groceries,South,In-Store,23.14,1,5,21.98,11.99,9.99
3502,2024-07-04,Electronics,West,In-Store,92.56,4,0,370.24,213.54,156.7
4197,2024-07-04,Groceries,West,Online,37.42,1,5,35.55,23.83,11.72
1241,2024-07-04,Clothing,West,In-Store,82.42,1,10,74.18,50.04,24.14
1077,2024-07-05,Clothing,East,Online,28.61,3,0,85.83,58.69,27.14
1435,2024-07-05,Clothing,South,Online,75.29,5,5,357.63,248.36,109.27
549,2024-07-05,Furniture,East,In-Store,178.14,6,0,1068.84,594.73,474.11
1066,2024-07-05,Sports,Central,Online,292.54,3,15,745.98,469.61,276.37
3887,2024-07-05,Groceries,Central,In-Store,11.17,6,10,60.32,43.83,16.49
1673,2024-07-05,Groceries,East,In-Store,21.64,5,10,97.38,61.91,35.47
1864,2024-07-05,Clothing,South,In-Store,99.18,2,10,178.52,112.86,65.66
2516,2024-07-06,Toys,Central,Online,26.85,2,5,51.02,36.17,14.85
746,2024-07-06,Groceries,Central,Online,11.12,3,0,33.36,17.64,15.72
257,2024-07-06,Books,Central,Online,20.07,1,0,20.07,11.57,8.5
783,2024-07-06,Groceries,South,In-Store,6.38,1,0,6.38,3.62,2.76
3693,2024-07-06,Groceries,Central,In-Store,6.61,6,0,39.66,27.34,12.32
541,2024-07-06,Clothing,West,In-Store,51.51,1,5,48.93,27.83,21.1
2183,2024-07-06,Clothing,South,Online,32.26,3,0,96.78,58.32,38.46
4329,2024-07-06,Electronics,Central,Online,285.29,5,0,1426.45,808.49,617.96
107,2024-07-06,Books,West,Online,72.04,2,10,129.67,94.66,35.01
476,2024-07-06,Electronics,Central,In-Store,109.93,5,0,549.65,319.68,229.97
1909,2024-07-07,Groceries,East,In-Store,11.04,4,5,41.95,25.07,16.88
2086,2024-07-07,Electronics,West,In-Store,99.3,6,5,566.01,302.24,263.77
4855,2024-07-07,Clothing,North,Online,45.27,2,0,90.54,55.97,34.57
2996,2024-07-07,Groceries,North,Online,42.54,4,0,170.16,88.27,81.89
429,2024-07-07,Furniture,North,Online,70.82,6,5,403.67,288.69,114.98
1245,2024-07-07,Sports,North,Online,18.01,3,5,51.33,37.0,14.33
4326,2024-07-07,Electronics,Central,Online,131.49,5,0,657.45,369.52,287.93
1603,2024-07-07,Clothing,East,Online,4.13,2,0,8.26,4.57,3.69
3461,2024-07-07,Groceries,North,In-Store,17.41,4,15,59.19,47.61,11.58
1129,2024-07-08,Clothing,Central,Online,103.36,4,0,413.44,228.11,185.33
1493,2024-07-08,Clothing,Central,In-Store,15.93,2,0,31.86,16.34,15.52
4859,2024-07-08,Groceries,South,Online,18.21,2,5,34.6,23.94,10.66
1549,2024-07-08,Electronics,West,Online,491.85,6,0,2951.1,1824.82,1126.28
2689,2024-07-08,Clothing,East,In-Store,37.38,1,0,37.38,21.28,16.1
3169,2024-07-08,Clothing,East,Online,8.92,4,10,32.11,24.81,7.3
4663,2024-07-08,Furniture,North,Online,596.69,2,5,1133.71,632.82,500.89
911,2024-07-08,Furniture,West,In-Store,598.76,3,5,1706.47,1165.69,540.78
4730,2024-07-08,Clothing,South,Online,64.49,1,10,58.04,33.02,25.02
3926,2024-07-09,Books,South,Online,6.03,5,10,27.14,17.29,9.85
2737,2024-07-09,Electronics,West,Online,122.13,5,5,580.12,387.79,192.33
3900,2024-07-09,Clothing,East,In-Store,15.44,4,0,61.76,35.26,26.5
3810,2024-07-10,Furniture,West,Online,365.61,5,5,1736.65,1225.68,510.97
2464,2024-07-10,Clothing,Central,Online,107.9,4,0,431.6,248.88,182.72
2840,2024-07-10,Clothing,North,Online,91.63,6,10,494.8,373.77,121.03
2925,2024-07-10,Groceries,Central,Online,8.5,6,20,40.8,33.48,7.32
2123,2024-07-11,Clothing,East,Online,14.03,6,10,75.76,48.52,27.24
